Date,Open,High,Low,Volume
2017-12-02,461.88,474.96,451.21,166197.44541767
2017-12-01,436.01,468.43,421.57,200946.96723454
2017-11-30,442.71,470.0,401.5,360107.62563889
2017-11-29,469.48,518.13,402.11,499447.45597975
2017-11-28,478.32,483.0,463.6,179482.19075714
2017-11-27,473.66,492.99,462.1,230184.54840489
2017-11-26,470.52,477.65,451.81,202569.16516491
2017-11-25,462.69,488.0,456.0,292791.81871078
2017-11-24,423.8,469.5,401.0,322520.07978407
2017-11-23,378.79,428.6,376.04,320103.47884575
2017-11-22,358.5,379.75,358.0,115797.52514715
2017-11-21,371.68,372.99,350.5,204371.7173913
2017-11-20,358.71,373.75,354.2,119839.67406569
2017-11-19,348.42,374.7,344.0,217571.29607635
2017-11-18,332.53,348.43,328.22,96345.15146961
2017-11-17,330.16,334.3,326.46,101936.0125271
2017-11-16,329.35,334.8,321.91,125686.75254069
2017-11-15,333.33,340.84,326.0,135525.89647746
2017-11-14,314.66,336.91,314.4,208974.98268202
2017-11-13,305.62,319.94,297.67,188528.10589079
2017-11-12,305.62,319.94,297.67,188528.10589079
2017-11-11,301.61,319.94,297.67,124346.52112709
2017-11-10,318.49,325.12,291.3,161296.5635848
2017-11-09,310.55,329.47,307.01,165090.84916299
2017-11-08,292.0,319.89,290.27,226463.13181309
2017-11-07,298.51,304.0,287.0,151749.45030965
2017-11-06,296.65,304.9,292.0,86056.56273328
2017-11-05,300.19,302.0,295.95,55736.06123078
2017-11-04,303.78,306.8,295.0,67787.53621201
2017-11-03,285.24,308.06,282.7,121671.03866911
2017-11-02,307.13,307.38,296.01,85272.86525611
2017-11-01,307.13,307.38,296.01,85272.86525611
2017-10-31,305.49,309.94,305.0,58282.53448747
2017-10-30,305.15,309.69,301.03,45340.20043286
2017-10-29,294.14,310.0,294.12,64141.79944603
2017-10-28,296.89,299.95,293.81,45775.87997793
2017-10-27,296.89,299.95,293.81,45775.87997793
2017-10-26,296.88,299.95,293.81,47806.71190456
2017-10-25,296.86,300.97,288.05,74330.75987521
2017-10-24,284.7,311.7,280.3,175711.73930339
2017-10-23,294.51,295.35,275.46,126833.96320554
2017-10-22,300.68,306.55,291.81,63596.2284517
2017-10-21,303.02,305.0,291.38,117453.53141418
2017-10-20,309.76,311.53,302.0,93237.99049041
2017-10-19,312.88,316.21,305.34,84631.66687529
2017-10-18,311.01,317.77,287.4,168758.88223134
2017-10-17,336.46,336.5,311.01,113391.57713222
2017-10-16,337.0,350.0,330.84,141722.34162447
2017-10-15,343.52,343.96,320.0,110258.46929962
2017-10-14,337.91,347.0,332.46,83177.97042118
2017-10-13,304.48,345.0,298.29,277396.21504434
2017-10-12,301.76,307.0,300.3,108227.22736087
2017-10-11,296.9,305.0,296.0,75702.45182232
2017-10-10,296.77,305.0,290.23,88767.67627112
2017-10-09,308.63,309.32,285.88,145075.5605385
2017-10-08,312.98,313.6,308.62,45819.56656879
2017-10-07,304.76,314.62,304.57,76371.90035216
2017-10-06,296.99,305.0,294.21,85324.57500463
2017-10-05,291.99,296.99,286.44,43975.53860457
2017-10-04,291.61,295.0,289.62,43150.63664573
2017-10-03,296.15,299.0,287.65,59257.71143757
2017-10-02,302.88,303.5,293.73,63322.45751726
2017-10-01,301.57,303.0,295.75,41483.15517793
2017-09-30,291.89,304.69,290.32,63190.84908636
2017-09-29,301.57,302.95,278.0,164883.74221522
2017-09-28,309.99,311.57,298.1,99323.74432917
2017-09-27,289.0,312.75,288.25,117832.36643855
2017-09-26,294.87,295.48,286.0,64931.53914512
2017-09-25,287.44,296.7,282.17,92070.2355827
2017-09-24,282.55,294.89,276.23,95794.73655601
2017-09-23,262.25,285.55,260.02,76250.30609468
2017-09-22,260.21,272.0,254.01,124402.76197848
2017-09-21,288.28,288.56,252.55,214965.59238368
2017-09-20,283.59,293.71,278.04,103817.1251384
2017-09-19,294.91,301.0,275.25,172133.29730482
2017-09-18,262.48,303.78,259.04,299596.03086031
2017-09-17,256.33,272.0,240.15,124088.34538373
2017-09-16,263.01,278.0,247.1,199838.47547606
2017-09-15,230.59,270.0,202.25,690075.77242865
2017-09-14,279.0,280.75,221.3,494220.63617627
2017-09-13,296.9,296.9,256.41,328805.2684239
2017-09-12,298.69,316.19,286.0,191389.95011134
2017-09-11,304.52,307.97,288.0,135292.4366092
2017-09-10,304.69,306.69,285.0,119727.84856754
2017-09-09,309.59,314.05,294.0,106272.57512459
2017-09-08,335.72,336.49,292.71,289422.30739376
2017-09-07,337.5,340.0,323.26,105942.35121471
2017-09-06,322.0,345.0,319.0,204990.62219183
2017-09-05,320.5,324.0,290.0,316082.67854221
2017-09-04,351.25,353.15,285.0,450317.64689651
2017-09-03,342.45,372.0,342.44,142010.55864076
2017-09-02,390.96,393.76,333.0,289000.68735725
2017-09-01,388.78,396.88,386.98,161045.61888417
2017-08-31,385.85,389.97,381.2,119830.03196486
2017-08-30,374.73,392.0,368.3,165756.30740575
2017-08-29,347.25,374.89,346.99,169229.3218781
2017-08-28,341.19,349.99,336.35,126618.6652444
2017-08-27,331.79,342.0,330.0,82854.32975623
2017-08-26,331.25,334.51,325.1,60902.86522257
2017-08-25,324.75,336.99,323.03,118909.93269865
2017-08-24,317.37,328.0,316.0,77052.84654977
2017-08-23,316.69,324.61,312.52,104012.34526815
2017-08-22,320.85,329.97,292.0,206968.01689771
2017-08-21,297.62,344.34,295.27,303983.34871665
2017-08-20,293.5,297.73,289.5,53951.35952507
2017-08-19,294.68,298.7,287.0,71767.61641925
2017-08-18,301.8,306.09,287.0,128861.82360534
2017-08-17,299.8,309.41,298.0,118480.61213367
2017-08-16,285.0,303.9,280.0,126751.94420727
2017-08-15,298.14,299.7,267.0,212344.27618304
2017-08-14,297.0,309.35,294.96,116787.44283287
2017-08-13,307.5,311.48,287.0,199121.95189603
2017-08-12,307.98,319.7,303.61,187338.55296706
2017-08-11,302.21,307.99,295.79,118449.97063438
2017-08-10,292.76,309.8,288.34,159681.37449167
2017-08-09,295.99,314.71,276.55,469323.87145554
2017-08-08,268.41,299.45,267.0,261735.85226431
2017-08-07,270.05,274.81,257.1,174664.24300864
2017-08-06,247.18,273.0,246.0,233240.37255001
2017-08-05,221.69,258.98,219.54,314869.35576673
2017-08-04,223.85,226.82,219.51,101125.68797708
2017-08-03,217.11,227.53,216.75,111836.60720516
2017-08-02,223.72,228.8,215.37,156894.25419886
2017-08-01,200.12,232.73,199.3,430116.50174682
2017-07-31,197.78,201.98,190.78,118080.72243726
